Method,MSE_train,MAE_train,R_2_train,MSE_val,MAE_val,R_2_val,MSE_pred,MAE_pred,R_2_pred
LR,0.0029598520532777535,0.03894532721059113,0.9113645136970984,0.0023560927364653264,0.035013570463193394,0.9275330666077097,0.017052508707366736,0.09597358682884392,0.47122059291158525
LR_Ridge,0.0029825624937163515,0.03905955269352016,0.910684428714405,0.0023968811204456136,0.03544927212073036,0.9262785280832572,0.017331503620688388,0.09752089498619129,0.46256926967354617
LR_Lasso,0.0029721467216982243,0.03908939622345025,0.9109963385671371,0.002344556856806701,0.03518435653975866,0.9278878785427006,0.01716495725790628,0.09665698131923263,0.4677336879111166
LR_Elastic,0.0029783915532184835,0.03912063594044359,0.9108093313557244,0.0023602704547260366,0.03529760573313325,0.927404571482605,0.017178003222892785,0.09685300734036428,0.46732914698703076
GAM,0.00021169303603719454,0.010262322705853507,0.9936606577429046,0.0006245075808738859,0.016063516528492548,0.9807918641886471,0.012636581843952223,0.08810747535169076,0.6081535937182865
KNN,0.0,0.0,1.0,0.0005730647009786733,0.011547168307793012,0.982374105707912,0.016924644472263505,0.0967798782504522,0.47518552121544777
SVM,0.002804322773852349,0.0422643224710377,0.9160219807150679,0.002554641472780669,0.03975653944486843,0.9214262534814689,0.011642899035057323,0.08443458393826471,0.6389665969859174
RF,1.0052452672242918e-30,8.231503475597859e-16,1.0,0.0004130179151367137,0.009503660876640653,0.987296704716752,0.012476081339056254,0.08236469574906899,0.6131305365994015
AdaB,0.0010214251180539846,0.025644195719503503,0.9694124873706254,0.0016160030332446243,0.031069004817108833,0.950296190655227,0.012054859151962997,0.08350396801977775,0.6261921700614291
XGBoost,2.0666340409596967e-07,0.00033656543156159813,0.9999938112746876,0.0004116496318736555,0.009127548274484493,0.9873387893471874,0.01137931441276953,0.0785181888420835,0.6471400641679486
MLP,0.0019047694367618712,0.03372416379737427,0.9429599310089404,0.0020283882692662724,0.03542038289971545,0.9376123548417106,0.013323751510959027,0.08870558629274468,0.586845223476433
