Method,MSE_train,MAE_train,R_2_train,MSE_pred,MAE_pred,R_2_pred
LR,0.09,0.215,0.913,0.538,0.537,0.468
LR_Ridge,0.09,0.215,0.913,0.556,0.547,0.45
LR_Lasso,0.658,0.659,0.369,0.979,0.728,0.032
LR_Elastic,0.658,0.659,0.369,0.979,0.728,0.032
GAM,0.005,0.049,0.995,0.456,0.511,0.549
KNN,0.0,0.0,1.0,0.645,0.596,0.363
SVR,0.669,0.653,0.358,0.94,0.716,0.071
RF,0.006,0.035,0.994,0.594,0.583,0.413
AdaB,0.044,0.161,0.958,0.465,0.522,0.54
XGBoost,0.0,0.0,1.0,0.363,0.448,0.641
MLP,0.662,0.66,0.365,1.271,0.804,-0.257
